id;service_group_id;name;price;created_at;updated_at
1;1;Barba;62.00;2022-08-29 09:55:00;2022-11-24 08:51:00
2;1;Bigode;22.00;2022-08-29 09:55:00;2022-11-24 08:51:00
3;1;Queixo;22.00;2022-08-29 09:55:00;2022-11-24 08:51:00
4;1;Nariz;22.00;2022-08-29 09:55:00;2022-11-24 08:51:00
5;1;Pescoço;26.00;2022-08-29 09:55:00;2022-11-24 08:51:00
6;1;Orelhas;22.00;2022-08-29 09:55:00;2022-11-24 08:51:00
7;1;Nuca;25.00;2022-08-29 09:55:00;2022-11-24 08:51:00
15;3;Ombros;32.00;2022-08-29 09:55:00;2022-11-24 08:51:00
16;3;Axilas;32.00;2022-08-29 09:55:00;2022-11-24 08:51:00
17;3;Braços;55.00;2022-08-29 09:55:00;2022-11-24 08:51:00
18;3;Mãos;23.00;2022-08-29 09:55:00;2022-11-24 08:51:00
19;3;Costas;53.00;2022-08-29 09:55:00;2022-11-24 08:51:00
20;3;Metade das Costas;27.00;2022-08-29 09:55:00;2022-11-24 08:51:00
21;3;Peito;53.00;2022-08-29 09:55:00;2022-11-24 08:51:00
22;3;Pernas Completas;72.00;2022-08-29 09:55:00;2022-11-24 08:51:00
23;3;Coxas;49.00;2022-08-29 09:55:00;2022-11-24 08:51:00
24;3;1/2 Perna;45.00;2022-08-29 09:55:00;2022-11-24 08:51:00
25;3;Pés;23.00;2022-08-29 09:55:00;2022-11-24 08:51:00
42;5;Contorno Simples;59.00;2022-08-29 09:55:00;2022-11-24 08:51:00
43;5;Contorno Completo;89.00;2022-08-29 09:55:00;2022-11-24 08:51:00
44;5;Contorno Completo e Lateral Anal;127.00;2022-08-29 09:55:00;2022-11-24 08:51:00
45;5;Lateral Anal;38.00;2022-08-29 09:55:00;2022-11-24 08:51:00
46;5;Nádegas;52.00;2022-08-29 09:55:00;2022-11-24 08:51:00
